Year,LocationAbbr,LocationDesc,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Topic,Data_Value_Unit,Data_Value,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,TopicId,BreakOutCategoryId,BreakOutId
2010,LA,Louisiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.8,26.4,27.1,Gender,Male,T1,BOC02,GEN01
2008,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.4,22.3,26.5,Race,Other,T1,BOC04,RAC07
2009,WA,Washington,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.8,25.4,26.1,Gender,Male,T1,BOC02,GEN01
2013,CO,Colorado,None,None,None,None,Major Cardiovascular Disease,Percent (%),19.9,18.2,21.7,Race,Other,T1,BOC04,RAC07
2009,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.4,22,22.8,Age,65+,T1,BOC03,AGE06
2012,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.9,20.8,21,Race,Non-Hispanic White,T1,BOC04,RAC01
2012,UT,Utah,None,None,None,None,Major Cardiovascular Disease,Percent (%),19.6,17.3,21.8,Race,Other,T1,BOC04,RAC07
2012,MO,Missouri,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.4,18.1,26.7,Race,Hispanic,T1,BOC04,RAC04
2012,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,18.5,28.6,Race,Hispanic,T1,BOC04,RAC04
2009,VT,Vermont,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.9,25.1,26.8,Age,75+,T1,BOC03,AGE08
2008,WA,Washington,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,23.6,24,Overall,Overall,T1,BOC01,OVR01
2010,KS,Kansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.8,20.4,21.1,Gender,Female,T1,BOC02,GEN02
2012,OH,Ohio,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.3,23.2,23.4,Race,Non-Hispanic White,T1,BOC04,RAC01
2009,AR,Arkansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.4,27,27.8,Gender,Male,T1,BOC02,GEN01
2011,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.4,21.3,21.5,Race,Non-Hispanic White,T1,BOC04,RAC01
2010,DC,"Washington, DC",None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,22.6,24.5,Gender,Male,T1,BOC02,GEN01
2009,WV,West Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.1,24.8,25.5,Age,75+,T1,BOC03,AGE08
2008,SD,South Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.9,23.4,24.4,Race,Non-Hispanic White,T1,BOC04,RAC01
2012,NJ,New Jersey,None,None,None,None,Major Cardiovascular Disease,Percent (%),23,22.8,23.2,Age,65+,T1,BOC03,AGE06
2009,NC,North Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.2,27,27.4,Gender,Male,T1,BOC02,GEN01
2010,MA,Massachusetts,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.3,21.5,23.1,Race,Non-Hispanic Black,T1,BOC04,RAC02
2010,CO,Colorado,None,None,None,None,Major Cardiovascular Disease,Percent (%),17.2,16.9,17.6,Gender,Female,T1,BOC02,GEN02
2009,OR,Oregon,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.5,20.1,21,Gender,Female,T1,BOC02,GEN02
2008,PA,Pennsylvania,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.7,20.5,25,Race,Hispanic,T1,BOC04,RAC04
2009,CT,Connecticut,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.4,25.1,25.8,Gender,Male,T1,BOC02,GEN01
2009,DE,Delaware,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.9,23.2,24.6,Age,65+,T1,BOC03,AGE06
2012,NE,Nebraska,None,None,None,None,Major Cardiovascular Disease,Percent (%),22,20.1,23.9,Race,Non-Hispanic Black,T1,BOC04,RAC02
2011,MI,Michigan,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,23.4,24.1,Race,Non-Hispanic Black,T1,BOC04,RAC02
2010,SD,South Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),36,17.2,54.8,Race,Hispanic,T1,BOC04,RAC04
2010,MT,Montana,None,None,None,None,Major Cardiovascular Disease,Percent (%),19.2,17.2,21.2,Race,Other,T1,BOC04,RAC07
2011,AR,Arkansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.8,27.4,28.2,Gender,Male,T1,BOC02,GEN01
2010,ND,North Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.1,22.5,23.6,Race,Non-Hispanic White,T1,BOC04,RAC01
2009,WI,Wisconsin,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.7,23.5,23.9,Overall,Overall,T1,BOC01,OVR01
2010,NH,New Hampshire,None,None,None,None,Major Cardiovascular Disease,Percent (%),27,26.4,27.7,Gender,Male,T1,BOC02,GEN01
2011,MS,Mississippi,None,None,None,None,Major Cardiovascular Disease,Percent (%),13.6,6.1,21,Race,Hispanic,T1,BOC04,RAC04
2011,WV,West Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,23.4,24.3,Age,65+,T1,BOC03,AGE06
2010,ID,Idaho,None,None,None,None,Major Cardiovascular Disease,Percent (%),19.3,16,22.7,Race,Other,T1,BOC04,RAC07
2011,OR,Oregon,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.6,20.4,24.8,Race,Non-Hispanic Black,T1,BOC04,RAC02
2010,NY,New York,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.6,20.5,20.7,Gender,Female,T1,BOC02,GEN02
2010,SD,South Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.9,22.4,23.4,Overall,Overall,T1,BOC01,OVR01
2011,ME,Maine,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.6,27,28.2,Gender,Male,T1,BOC02,GEN01
2010,AK,Alaska,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.2,20.8,31.5,Race,Non-Hispanic Black,T1,BOC04,RAC02
2008,WV,West Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.4,24.6,28.3,Race,Non-Hispanic Black,T1,BOC04,RAC02
2009,AK,Alaska,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.2,25,27.3,Age,75+,T1,BOC03,AGE08
2011,CT,Connecticut,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.1,19.8,20.3,Gender,Female,T1,BOC02,GEN02
2011,NV,Nevada,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.6,20.3,22.9,Race,Other,T1,BOC04,RAC07
2008,TX,Texas,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,23.6,23.9,Age,75+,T1,BOC03,AGE08
2009,KS,Kansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.1,26.6,27.5,Gender,Male,T1,BOC02,GEN01
2009,NJ,New Jersey,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,23.1,24.9,Race,Hispanic,T1,BOC04,RAC04
2010,NM,New Mexico,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.7,20.4,21.1,Overall,Overall,T1,BOC01,OVR01
2010,VT,Vermont,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.1,22.1,24.2,Age,65+,T1,BOC03,AGE06
2012,SC,South Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.6,22.3,22.9,Age,65+,T1,BOC03,AGE06
2012,MO,Missouri,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,23.4,24.6,Race,Non-Hispanic Black,T1,BOC04,RAC02
2010,US,United States,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.1,23.1,23.2,Overall,Overall,T1,BOC01,OVR01
2012,HI,Hawaii,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.6,23.1,24.1,Overall,Overall,T1,BOC01,OVR01
2010,NV,Nevada,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.5,23.2,27.8,Race,Hispanic,T1,BOC04,RAC04
2010,AR,Arkansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.3,24.1,24.6,Race,Non-Hispanic White,T1,BOC04,RAC01
2009,OR,Oregon,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.8,20.3,21.3,Age,65+,T1,BOC03,AGE06
2011,CO,Colorado,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.8,18.5,19,Race,Non-Hispanic White,T1,BOC04,RAC01
2010,OK,Oklahoma,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,22.8,24.8,Race,Non-Hispanic Black,T1,BOC04,RAC02
2013,AK,Alaska,None,None,None,None,Major Cardiovascular Disease,Percent (%),19.9,18.4,21.4,Race,Other,T1,BOC04,RAC07
2011,DC,"Washington, DC",None,None,None,None,Major Cardiovascular Disease,Percent (%),18.4,17.2,19.6,Race,Non-Hispanic White,T1,BOC04,RAC01
2008,VT,Vermont,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.5,17.2,33.8,Race,Other,T1,BOC04,RAC07
2012,NV,Nevada,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.9,20.6,21.2,Overall,Overall,T1,BOC01,OVR01
2011,NJ,New Jersey,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.2,24.1,24.4,Race,Non-Hispanic White,T1,BOC04,RAC01
2012,OR,Oregon,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.5,25.1,25.9,Age,75+,T1,BOC03,AGE08
2009,MN,Minnesota,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.8,16.9,28.7,Race,Hispanic,T1,BOC04,RAC04
2011,RI,Rhode Island,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.8,20.3,21.3,Gender,Female,T1,BOC02,GEN02
2012,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.2,22,22.4,Race,Non-Hispanic White,T1,BOC04,RAC01
2012,ID,Idaho,None,None,None,None,Major Cardiovascular Disease,Percent (%),19,18.4,19.6,Gender,Female,T1,BOC02,GEN02
2010,ND,North Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.8,22.3,23.4,Overall,Overall,T1,BOC01,OVR01
2011,GA,Georgia,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.4,21.2,21.6,Gender,Female,T1,BOC02,GEN02
2010,ID,Idaho,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.5,19.7,31.3,Race,Hispanic,T1,BOC04,RAC04
2009,WY,Wyoming,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.8,24.8,26.9,Gender,Male,T1,BOC02,GEN01
2010,TX,Texas,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.1,23,23.2,Age,75+,T1,BOC03,AGE08
2010,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.4,22,22.7,Race,Non-Hispanic Black,T1,BOC04,RAC02
2011,IL,Illinois,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.9,18,19.9,Race,Hispanic,T1,BOC04,RAC04
2010,VT,Vermont,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.2,18.4,34,Race,Other,T1,BOC04,RAC07
2009,GA,Georgia,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,23.6,24.1,Age,65+,T1,BOC03,AGE06
2011,OK,Oklahoma,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.1,21.9,22.4,Overall,Overall,T1,BOC01,OVR01
2011,VT,Vermont,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.8,20.9,22.6,Gender,Female,T1,BOC02,GEN02
2010,MN,Minnesota,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.6,20.1,23,Race,Other,T1,BOC04,RAC07
2013,AR,Arkansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.5,27.1,27.9,Gender,Male,T1,BOC02,GEN01
2010,IN,Indiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.8,26.5,27.1,Gender,Male,T1,BOC02,GEN01
2012,CT,Connecticut,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.9,21.7,22.1,Overall,Overall,T1,BOC01,OVR01
2013,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.3,22.2,22.3,Overall,Overall,T1,BOC01,OVR01
2009,NJ,New Jersey,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.6,25.5,25.8,Overall,Overall,T1,BOC01,OVR01
2010,MO,Missouri,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.1,22.9,23.3,Race,Non-Hispanic White,T1,BOC04,RAC01
2013,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.6,15.3,27.8,Race,Hispanic,T1,BOC04,RAC04
2010,SC,South Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.5,21.3,21.8,Gender,Female,T1,BOC02,GEN02
2011,CT,Connecticut,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,23.7,24.4,Gender,Male,T1,BOC02,GEN01
2009,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),19.8,19.7,19.9,Gender,Female,T1,BOC02,GEN02
2009,WA,Washington,None,None,None,None,Major Cardiovascular Disease,Percent (%),23,22.8,23.2,Overall,Overall,T1,BOC01,OVR01
2009,MN,Minnesota,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.7,20.4,21,Gender,Female,T1,BOC02,GEN02
2010,OR,Oregon,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.7,23.4,24,Overall,Overall,T1,BOC01,OVR01
2009,IL,Illinois,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.2,23.1,23.3,Age,75+,T1,BOC03,AGE08
2008,VA,Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,23.6,24,Age,75+,T1,BOC03,AGE08
2010,US,United States,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.9,25.9,26,Gender,Male,T1,BOC02,GEN01
2009,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,23.3,23.7,Overall,Overall,T1,BOC01,OVR01
2012,MD,Maryland,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.9,22.5,23.2,Race,Non-Hispanic Black,T1,BOC04,RAC02
2010,PA,Pennsylvania,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,23.8,24.1,Race,Non-Hispanic White,T1,BOC04,RAC01
2011,ND,North Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.6,15.9,21.3,Race,Other,T1,BOC04,RAC07
2012,WV,West Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),27,26.6,27.5,Gender,Male,T1,BOC02,GEN01
2009,ID,Idaho,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.6,12.4,34.9,Race,Non-Hispanic Black,T1,BOC04,RAC02
2011,RI,Rhode Island,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.4,22,22.8,Race,Non-Hispanic White,T1,BOC04,RAC01
2013,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.3,19.9,20.7,Race,Hispanic,T1,BOC04,RAC04
2009,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.7,21.6,21.8,Race,Non-Hispanic White,T1,BOC04,RAC01
2008,NM,New Mexico,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.2,19.8,22.5,Race,Hispanic,T1,BOC04,RAC04
2012,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.1,20.7,21.4,Gender,Female,T1,BOC02,GEN02
2011,NE,Nebraska,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.1,21.8,22.4,Overall,Overall,T1,BOC01,OVR01
2011,IN,Indiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.6,22.4,22.9,Age,65+,T1,BOC03,AGE06
2011,SD,South Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.3,17.3,37.2,Race,Non-Hispanic Black,T1,BOC04,RAC02
2009,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.9,26.7,27,Gender,Male,T1,BOC02,GEN01
2010,MI,Michigan,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,23.9,24.1,Overall,Overall,T1,BOC01,OVR01
2010,WI,Wisconsin,None,None,None,None,Major Cardiovascular Disease,Percent (%),23,21.3,24.7,Race,Other,T1,BOC04,RAC07
2009,OH,Ohio,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,23.9,24.2,Race,Non-Hispanic White,T1,BOC04,RAC01
2009,NV,Nevada,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.8,24.2,25.3,Gender,Male,T1,BOC02,GEN01
2009,NE,Nebraska,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.9,21.3,22.5,Age,65+,T1,BOC03,AGE06
2009,CT,Connecticut,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.2,20.9,21.5,Gender,Female,T1,BOC02,GEN02
2008,SC,South Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.4,24,24.7,Age,65+,T1,BOC03,AGE06
2010,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),23,22.8,23.2,Overall,Overall,T1,BOC01,OVR01
2012,HI,Hawaii,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.8,21.7,33.9,Race,Non-Hispanic Black,T1,BOC04,RAC02
2010,NH,New Hampshire,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.3,19.6,29,Race,Other,T1,BOC04,RAC07
2008,WY,Wyoming,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.6,22,23.3,Overall,Overall,T1,BOC01,OVR01
2012,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.3,25.7,26.8,Race,Non-Hispanic Black,T1,BOC04,RAC02
2008,OH,Ohio,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,23.6,24,Age,65+,T1,BOC03,AGE06
2012,MS,Mississippi,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.6,22.4,22.8,Overall,Overall,T1,BOC01,OVR01
2004,KS,Kansas,None,None,None,None,Heart Failure,Percent (%),3.9,3.7,4.1,Age,65+,T5,BOC03,AGE06
2010,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.8,22.5,23,Race,Non-Hispanic White,T1,BOC04,RAC01
2011,WI,Wisconsin,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.9,23.7,24.1,Overall,Overall,T1,BOC01,OVR01
2012,VA,Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.8,20.6,21,Gender,Female,T1,BOC02,GEN02
2011,NY,New York,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.7,22.6,22.8,Age,75+,T1,BOC03,AGE08
2009,NY,New York,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.8,22.7,22.9,Overall,Overall,T1,BOC01,OVR01
2010,WA,Washington,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.6,22.4,22.8,Overall,Overall,T1,BOC01,OVR01
2012,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.2,23.1,23.3,Gender,Male,T1,BOC02,GEN01
2012,US,United States,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,23.4,23.5,Race,Non-Hispanic Black,T1,BOC04,RAC02
2010,DE,Delaware,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.1,21.9,24.2,Race,Non-Hispanic Black,T1,BOC04,RAC02
2012,RI,Rhode Island,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.2,21,27.4,Race,Other,T1,BOC04,RAC07
2010,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.4,23.1,23.7,Age,65+,T1,BOC03,AGE06
2009,NC,North Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,22.3,24.8,Race,Other,T1,BOC04,RAC07
2010,AZ,Arizona,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.4,23.2,23.7,Age,75+,T1,BOC03,AGE08
2011,US,United States,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.8,21.7,21.8,Age,65+,T1,BOC03,AGE06
2012,MS,Mississippi,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.6,22.3,22.9,Age,75+,T1,BOC03,AGE08
2012,DC,"Washington, DC",None,None,None,None,Major Cardiovascular Disease,Percent (%),22.2,21.3,23.2,Gender,Male,T1,BOC02,GEN01
2013,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.9,18.8,19,Gender,Female,T1,BOC02,GEN02
2011,MD,Maryland,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.9,20.6,21.1,Age,65+,T1,BOC03,AGE06
2012,NM,New Mexico,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.5,21.1,21.9,Race,Non-Hispanic White,T1,BOC04,RAC01
2009,MT,Montana,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.6,12.5,38.6,Race,Hispanic,T1,BOC04,RAC04
2012,LA,Louisiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),21,17.4,24.5,Race,Hispanic,T1,BOC04,RAC04
2011,CO,Colorado,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.8,18.6,19,Overall,Overall,T1,BOC01,OVR01
2013,CO,Colorado,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.5,20.1,20.8,Age,75+,T1,BOC03,AGE08
2011,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.4,25.3,25.6,Gender,Male,T1,BOC02,GEN01
2011,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.6,22.3,23,Race,Non-Hispanic Black,T1,BOC04,RAC02
2009,UT,Utah,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.3,15.7,20.9,Race,Other,T1,BOC04,RAC07
2008,WI,Wisconsin,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.8,24.5,25,Age,75+,T1,BOC03,AGE08
2009,PA,Pennsylvania,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.2,24,24.3,Age,75+,T1,BOC03,AGE08
2010,NY,New York,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.1,22,22.3,Age,65+,T1,BOC03,AGE06
2011,PA,Pennsylvania,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.1,24,24.2,Age,75+,T1,BOC03,AGE08
2010,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.7,20.4,33.1,Race,Hispanic,T1,BOC04,RAC04
2010,AR,Arkansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.5,24.2,24.7,Overall,Overall,T1,BOC01,OVR01
2010,AK,Alaska,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.2,26.1,28.4,Gender,Male,T1,BOC02,GEN01
2009,SC,South Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,23.7,24.3,Age,65+,T1,BOC03,AGE06
2012,OH,Ohio,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.8,25.6,26,Gender,Male,T1,BOC02,GEN01
2011,NC,North Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.8,21.6,22,Gender,Female,T1,BOC02,GEN02
2010,NJ,New Jersey,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.7,25.5,25.9,Age,75+,T1,BOC03,AGE08
2012,WI,Wisconsin,None,None,None,None,Major Cardiovascular Disease,Percent (%),19.7,16.8,22.6,Race,Hispanic,T1,BOC04,RAC04
2009,MA,Massachusetts,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.5,22.3,22.6,Overall,Overall,T1,BOC01,OVR01
2009,DE,Delaware,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.2,18,32.4,Race,Hispanic,T1,BOC04,RAC04
2012,GA,Georgia,None,None,None,None,Major Cardiovascular Disease,Percent (%),23,22.8,23.1,Race,Non-Hispanic White,T1,BOC04,RAC01
2011,KY,Kentucky,None,None,None,None,Major Cardiovascular Disease,Percent (%),23,22.7,23.3,Age,65+,T1,BOC03,AGE06
2013,DE,Delaware,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.5,20.8,22.1,Age,65+,T1,BOC03,AGE06
2011,AK,Alaska,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.1,24,26.2,Age,75+,T1,BOC03,AGE08
2009,US,United States,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.9,23.9,24,Age,75+,T1,BOC03,AGE08
2009,AZ,Arizona,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.2,22.7,25.7,Race,Non-Hispanic Black,T1,BOC04,RAC02
2009,NC,North Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.2,24,24.3,Race,Non-Hispanic White,T1,BOC04,RAC01
2008,TX,Texas,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.7,22,23.4,Race,Other,T1,BOC04,RAC07
2010,KY,Kentucky,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,22.6,24.4,Race,Non-Hispanic Black,T1,BOC04,RAC02
2011,TX,Texas,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.7,24.5,24.8,Gender,Male,T1,BOC02,GEN01
2010,WA,Washington,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.6,22.4,22.9,Race,Non-Hispanic White,T1,BOC04,RAC01
2010,GA,Georgia,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.8,24.4,25.1,Race,Non-Hispanic Black,T1,BOC04,RAC02
2012,UT,Utah,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.7,20.4,21.1,Race,Non-Hispanic White,T1,BOC04,RAC01
2009,WV,West Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.9,24.6,25.2,Overall,Overall,T1,BOC01,OVR01
2009,OK,Oklahoma,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.1,22.5,29.7,Race,Hispanic,T1,BOC04,RAC04
2010,NM,New Mexico,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.7,19.4,22.1,Race,Hispanic,T1,BOC04,RAC04
2011,MS,Mississippi,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.8,22.4,23.2,Age,65+,T1,BOC03,AGE06
2009,KY,Kentucky,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.6,24.3,24.8,Age,75+,T1,BOC03,AGE08
2008,VT,Vermont,None,None,None,None,Major Cardiovascular Disease,Percent (%),29.6,28.6,30.6,Gender,Male,T1,BOC02,GEN01
2011,RI,Rhode Island,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.4,22,22.8,Overall,Overall,T1,BOC01,OVR01
2011,AZ,Arizona,None,None,None,None,Major Cardiovascular Disease,Percent (%),23,21.8,24.3,Race,Non-Hispanic Black,T1,BOC04,RAC02
2010,SC,South Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,23.6,24,Race,Non-Hispanic White,T1,BOC04,RAC01
2012,SD,South Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.3,21.8,22.8,Overall,Overall,T1,BOC01,OVR01
2009,LA,Louisiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.5,19.3,23.8,Race,Other,T1,BOC04,RAC07
2010,HI,Hawaii,None,None,None,None,Major Cardiovascular Disease,Percent (%),23,22.2,23.8,Gender,Female,T1,BOC02,GEN02
2009,SC,South Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.7,23,28.4,Race,Other,T1,BOC04,RAC07
2010,OH,Ohio,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,23.4,23.7,Overall,Overall,T1,BOC01,OVR01
