Year,LocationAbbr,LocationDesc,PriorityArea1,Topic,Data_Value_Unit,Data_Value,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,TopicId,BreakOutCategoryId,BreakOutId,GeoLocation
2007,ID,Idaho,None,Major Cardiovascular Disease,Percent (%),24.5,24.0,25.0,Race,Non-Hispanic White,T1,BOC04,RAC01,"(43.682630005000476, -114.3637300419997)"
2005,NY,New York,None,Major Cardiovascular Disease,Percent (%),24.9,24.7,25.0,Age,65+,T1,BOC03,AGE06,"(42.82700103200045, -75.54397042699964)"
2007,SD,South Dakota,None,Major Cardiovascular Disease,Percent (%),20.8,18.7,22.8,Race,Other,T1,BOC04,RAC07,"(44.353130053000484, -100.3735306369997)"
2006,NM,New Mexico,None,Major Cardiovascular Disease,Percent (%),26.4,25.8,27.0,Gender,Male,T1,BOC02,GEN01,"(34.52088095200048, -106.24058098499967)"
2005,WA,Washington,None,Major Cardiovascular Disease,Percent (%),25.0,24.8,25.2,Overall,Overall,T1,BOC01,OVR01,"(47.52227862900048, -120.47001078999972)"
2004,MS,Mississippi,None,Major Cardiovascular Disease,Percent (%),24.2,23.9,24.5,Gender,Female,T1,BOC02,GEN02,"(32.745510099000455, -89.53803082499968)"
2006,MA,Massachusetts,None,Major Cardiovascular Disease,Percent (%),26.6,26.3,26.8,Gender,Male,T1,BOC02,GEN01,"(42.27687047000046, -72.08269067499964)"
2007,CA,California,None,Major Cardiovascular Disease,Percent (%),22.4,22.1,22.7,Race,Other,T1,BOC04,RAC07,"(37.63864012300047, -120.99999953799971)"
2004,HI,Hawaii,None,Major Cardiovascular Disease,Percent (%),26.4,25.3,27.4,Race,Non-Hispanic White,T1,BOC04,RAC01,"(21.304850435000446, -157.85774940299973)"
2006,NV,Nevada,None,Major Cardiovascular Disease,Percent (%),26.6,26.1,27.2,Gender,Male,T1,BOC02,GEN01,"(39.493240390000494, -117.07184056399967)"
2008,MT,Montana,None,Major Cardiovascular Disease,Percent (%),22.7,22.1,23.4,Age,75+,T1,BOC03,AGE08,"(47.06652897200047, -109.42442064499971)"
2006,DC,"Washington, DC",None,Major Cardiovascular Disease,Percent (%),23.4,22.7,24.1,Gender,Female,T1,BOC02,GEN02,"(38.89037138500049, -77.03196112699965)"
2006,WY,Wyoming,None,Major Cardiovascular Disease,Percent (%),22.9,22.1,23.6,Age,75+,T1,BOC03,AGE08,"(43.23554134300048, -108.10983035299967)"
2007,ME,Maine,None,Major Cardiovascular Disease,Percent (%),25.5,25.2,25.9,Overall,Overall,T1,BOC01,OVR01,"(45.254228894000505, -68.98503133599962)"
2006,RI,Rhode Island,None,Major Cardiovascular Disease,Percent (%),22.3,21.7,22.9,Gender,Female,T1,BOC02,GEN02,"(41.70828019300046, -71.52247031399963)"
2004,SC,South Carolina,None,Major Cardiovascular Disease,Percent (%),28.0,25.6,30.3,Race,Other,T1,BOC04,RAC07,"(33.998821303000454, -81.04537120699968)"
2005,SD,South Dakota,None,Major Cardiovascular Disease,Percent (%),20.0,2.5,37.5,Race,Hispanic,T1,BOC04,RAC04,"(44.353130053000484, -100.3735306369997)"
2007,CO,Colorado,None,Major Cardiovascular Disease,Percent (%),21.1,20.7,21.4,Age,75+,T1,BOC03,AGE08,"(38.843840757000464, -106.13361092099967)"
2007,US,United States,None,Major Cardiovascular Disease,Percent (%),24.3,24.2,24.3,Age,65+,T1,BOC03,AGE06,
2008,MI,Michigan,None,Major Cardiovascular Disease,Percent (%),27.7,27.5,28.0,Gender,Male,T1,BOC02,GEN01,"(44.6613195430005, -84.71439026999968)"
2007,OK,Oklahoma,None,Major Cardiovascular Disease,Percent (%),24.2,23.2,25.3,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(35.47203135600046, -97.52107021399968)"
2007,UT,Utah,None,Major Cardiovascular Disease,Percent (%),19.4,15.4,23.4,Race,Hispanic,T1,BOC04,RAC04,"(39.360700171000474, -111.58713063499971)"
2005,NC,North Carolina,None,Major Cardiovascular Disease,Percent (%),25.4,25.1,25.8,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(35.466220975000454, -79.15925046299964)"
2006,ME,Maine,None,Major Cardiovascular Disease,Percent (%),28.6,28.0,29.1,Gender,Male,T1,BOC02,GEN01,"(45.254228894000505, -68.98503133599962)"
2008,IN,Indiana,None,Major Cardiovascular Disease,Percent (%),24.6,24.4,24.7,Overall,Overall,T1,BOC01,OVR01,"(39.766910452000445, -86.14996019399968)"
2006,OR,Oregon,None,Major Cardiovascular Disease,Percent (%),28.2,22.9,33.5,Race,Hispanic,T1,BOC04,RAC04,"(44.56744942400047, -120.15503132599969)"
2007,MD,Maryland,None,Major Cardiovascular Disease,Percent (%),24.6,24.2,25.0,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(39.29058096400047, -76.60926011099963)"
2007,MT,Montana,None,Major Cardiovascular Disease,Percent (%),17.9,16.1,19.7,Race,Other,T1,BOC04,RAC07,"(47.06652897200047, -109.42442064499971)"
2006,TX,Texas,None,Major Cardiovascular Disease,Percent (%),25.7,25.5,25.8,Age,65+,T1,BOC03,AGE06,"(31.827240407000488, -99.42677020599967)"
2005,IL,Illinois,None,Major Cardiovascular Disease,Percent (%),25.0,24.8,25.2,Age,65+,T1,BOC03,AGE06,"(40.48501028300046, -88.99771017799969)"
2006,OH,Ohio,None,Major Cardiovascular Disease,Percent (%),23.5,23.4,23.7,Gender,Female,T1,BOC02,GEN02,"(40.06021014100048, -82.40426005599966)"
2005,MO,Missouri,None,Major Cardiovascular Disease,Percent (%),24.5,23.9,25.1,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(38.635790776000476, -92.56630005299968)"
2006,AZ,Arizona,None,Major Cardiovascular Disease,Percent (%),24.9,23.2,26.6,Race,Hispanic,T1,BOC04,RAC04,"(34.865970280000454, -111.76381127699972)"
2005,PA,Pennsylvania,None,Major Cardiovascular Disease,Percent (%),25.6,25.4,25.8,Age,65+,T1,BOC03,AGE06,"(40.79373015200048, -77.86070029399963)"
2006,WI,Wisconsin,None,Major Cardiovascular Disease,Percent (%),24.0,22.4,25.6,Race,Other,T1,BOC04,RAC07,"(44.39319117400049, -89.81637074199966)"
2007,OH,Ohio,None,Major Cardiovascular Disease,Percent (%),22.4,22.3,22.6,Gender,Female,T1,BOC02,GEN02,"(40.06021014100048, -82.40426005599966)"
2006,AR,Arkansas,None,Major Cardiovascular Disease,Percent (%),26.5,26.3,26.7,Overall,Overall,T1,BOC01,OVR01,"(34.74865012400045, -92.27449074299966)"
2005,CO,Colorado,None,Major Cardiovascular Disease,Percent (%),21.4,21.0,21.7,Age,75+,T1,BOC03,AGE08,"(38.843840757000464, -106.13361092099967)"
2004,OH,Ohio,None,Major Cardiovascular Disease,Percent (%),27.9,27.7,28.0,Age,75+,T1,BOC03,AGE08,"(40.06021014100048, -82.40426005599966)"
2007,DC,"Washington, DC",None,Major Cardiovascular Disease,Percent (%),24.2,23.6,24.8,Overall,Overall,T1,BOC01,OVR01,"(38.89037138500049, -77.03196112699965)"
2006,VT,Vermont,None,Major Cardiovascular Disease,Percent (%),26.3,25.7,26.9,Overall,Overall,T1,BOC01,OVR01,"(43.62538123900049, -72.51764079099962)"
2005,WA,Washington,None,Major Cardiovascular Disease,Percent (%),25.0,24.8,25.3,Race,Non-Hispanic White,T1,BOC04,RAC01,"(47.52227862900048, -120.47001078999972)"
2008,MO,Missouri,None,Major Cardiovascular Disease,Percent (%),26.2,25.9,26.4,Gender,Male,T1,BOC02,GEN01,"(38.635790776000476, -92.56630005299968)"
2005,NM,New Mexico,None,Major Cardiovascular Disease,Percent (%),26.3,25.7,26.9,Gender,Male,T1,BOC02,GEN01,"(34.52088095200048, -106.24058098499967)"
2007,NJ,New Jersey,None,Major Cardiovascular Disease,Percent (%),26.6,26.5,26.7,Overall,Overall,T1,BOC01,OVR01,"(40.13057004800049, -74.27369128799967)"
2007,MT,Montana,None,Major Cardiovascular Disease,Percent (%),25.9,25.1,26.6,Gender,Male,T1,BOC02,GEN01,"(47.06652897200047, -109.42442064499971)"
2004,CA,California,None,Major Cardiovascular Disease,Percent (%),25.0,24.9,25.1,Age,75+,T1,BOC03,AGE08,"(37.63864012300047, -120.99999953799971)"
2008,AR,Arkansas,None,Major Cardiovascular Disease,Percent (%),24.8,24.4,25.1,Age,75+,T1,BOC03,AGE08,"(34.74865012400045, -92.27449074299966)"
2008,NH,New Hampshire,None,Major Cardiovascular Disease,Percent (%),21.9,21.4,22.5,Gender,Female,T1,BOC02,GEN02,"(43.65595011300047, -71.50036091999965)"
2004,NC,North Carolina,None,Major Cardiovascular Disease,Percent (%),26.4,21.9,30.8,Race,Hispanic,T1,BOC04,RAC04,"(35.466220975000454, -79.15925046299964)"
2006,IN,Indiana,None,Major Cardiovascular Disease,Percent (%),25.7,25.5,25.8,Overall,Overall,T1,BOC01,OVR01,"(39.766910452000445, -86.14996019399968)"
2004,AZ,Arizona,None,Major Cardiovascular Disease,Percent (%),20.4,19.4,21.4,Race,Other,T1,BOC04,RAC07,"(34.865970280000454, -111.76381127699972)"
2007,HI,Hawaii,None,Major Cardiovascular Disease,Percent (%),26.5,25.4,27.6,Race,Non-Hispanic White,T1,BOC04,RAC01,"(21.304850435000446, -157.85774940299973)"
2007,DC,"Washington, DC",None,Major Cardiovascular Disease,Percent (%),20.5,19.2,21.7,Race,Non-Hispanic White,T1,BOC04,RAC01,"(38.89037138500049, -77.03196112699965)"
2006,AK,Alaska,None,Major Cardiovascular Disease,Percent (%),29.5,28.2,30.7,Gender,Male,T1,BOC02,GEN01,"(64.84507995700051, -147.72205903599973)"
2006,LA,Louisiana,None,Major Cardiovascular Disease,Percent (%),27.4,27.0,27.7,Age,65+,T1,BOC03,AGE06,"(31.31266064400046, -92.44568007099969)"
2004,NV,Nevada,None,Major Cardiovascular Disease,Percent (%),24.8,23.2,26.4,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(39.493240390000494, -117.07184056399967)"
2004,KY,Kentucky,None,Major Cardiovascular Disease,Percent (%),27.7,27.5,27.9,Race,Non-Hispanic White,T1,BOC04,RAC01,"(37.645970271000465, -84.77497104799966)"
2005,MD,Maryland,None,Major Cardiovascular Disease,Percent (%),26.1,25.9,26.4,Age,75+,T1,BOC03,AGE08,"(39.29058096400047, -76.60926011099963)"
2004,RI,Rhode Island,None,Major Cardiovascular Disease,Percent (%),25.5,25.0,25.9,Overall,Overall,T1,BOC01,OVR01,"(41.70828019300046, -71.52247031399963)"
2004,TX,Texas,None,Major Cardiovascular Disease,Percent (%),27.1,27.0,27.3,Age,65+,T1,BOC03,AGE06,"(31.827240407000488, -99.42677020599967)"
2007,MO,Missouri,None,Major Cardiovascular Disease,Percent (%),24.6,24.4,24.8,Overall,Overall,T1,BOC01,OVR01,"(38.635790776000476, -92.56630005299968)"
2004,MD,Maryland,None,Major Cardiovascular Disease,Percent (%),26.6,26.2,27.0,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(39.29058096400047, -76.60926011099963)"
2008,IN,Indiana,None,Major Cardiovascular Disease,Percent (%),24.5,23.8,25.1,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(39.766910452000445, -86.14996019399968)"
2007,OR,Oregon,None,Major Cardiovascular Disease,Percent (%),25.8,23.5,28.1,Race,Other,T1,BOC04,RAC07,"(44.56744942400047, -120.15503132599969)"
2004,CT,Connecticut,None,Major Cardiovascular Disease,Percent (%),29.2,28.8,29.6,Gender,Male,T1,BOC02,GEN01,"(41.56266102000046, -72.64984095199964)"
2008,KY,Kentucky,None,Major Cardiovascular Disease,Percent (%),26.8,26.5,27.2,Gender,Male,T1,BOC02,GEN01,"(37.645970271000465, -84.77497104799966)"
2004,ID,Idaho,None,Major Cardiovascular Disease,Percent (%),22.6,12.2,33.0,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(43.682630005000476, -114.3637300419997)"
2005,LA,Louisiana,None,Major Cardiovascular Disease,Percent (%),24.2,23.9,24.5,Gender,Female,T1,BOC02,GEN02,"(31.31266064400046, -92.44568007099969)"
2007,WY,Wyoming,None,Major Cardiovascular Disease,Percent (%),23.3,22.7,24.0,Overall,Overall,T1,BOC01,OVR01,"(43.23554134300048, -108.10983035299967)"
2004,UT,Utah,None,Major Cardiovascular Disease,Percent (%),24.0,23.6,24.4,Race,Non-Hispanic White,T1,BOC04,RAC01,"(39.360700171000474, -111.58713063499971)"
2004,ME,Maine,None,Major Cardiovascular Disease,Percent (%),27.0,26.6,27.3,Overall,Overall,T1,BOC01,OVR01,"(45.254228894000505, -68.98503133599962)"
2004,IA,Iowa,None,Major Cardiovascular Disease,Percent (%),26.8,26.5,27.1,Age,75+,T1,BOC03,AGE08,"(42.46940091300047, -93.81649055599968)"
2006,ND,North Dakota,None,Major Cardiovascular Disease,Percent (%),22.4,21.7,23.0,Gender,Female,T1,BOC02,GEN02,"(47.47531977900047, -100.11842104899966)"
2007,VA,Virginia,None,Major Cardiovascular Disease,Percent (%),24.2,24.0,24.4,Age,75+,T1,BOC03,AGE08,"(37.54268067400045, -78.45789046299967)"
2007,IL,Illinois,None,Major Cardiovascular Disease,Percent (%),21.6,21.5,21.8,Gender,Female,T1,BOC02,GEN02,"(40.48501028300046, -88.99771017799969)"
2008,NV,Nevada,None,Major Cardiovascular Disease,Percent (%),24.4,23.1,25.8,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(39.493240390000494, -117.07184056399967)"
2005,NH,New Hampshire,None,Major Cardiovascular Disease,Percent (%),23.1,22.6,23.7,Gender,Female,T1,BOC02,GEN02,"(43.65595011300047, -71.50036091999965)"
2004,VA,Virginia,None,Major Cardiovascular Disease,Percent (%),26.6,26.4,26.8,Age,75+,T1,BOC03,AGE08,"(37.54268067400045, -78.45789046299967)"
2005,OH,Ohio,None,Major Cardiovascular Disease,Percent (%),26.9,26.7,27.1,Age,65+,T1,BOC03,AGE06,"(40.06021014100048, -82.40426005599966)"
2004,AZ,Arizona,None,Major Cardiovascular Disease,Percent (%),27.1,26.9,27.4,Race,Non-Hispanic White,T1,BOC04,RAC01,"(34.865970280000454, -111.76381127699972)"
2006,CT,Connecticut,None,Major Cardiovascular Disease,Percent (%),24.3,24.1,24.6,Race,Non-Hispanic White,T1,BOC04,RAC01,"(41.56266102000046, -72.64984095199964)"
2007,KY,Kentucky,None,Major Cardiovascular Disease,Percent (%),28.7,28.3,29.0,Gender,Male,T1,BOC02,GEN01,"(37.645970271000465, -84.77497104799966)"
2008,NM,New Mexico,None,Major Cardiovascular Disease,Percent (%),24.9,24.3,25.5,Gender,Male,T1,BOC02,GEN01,"(34.52088095200048, -106.24058098499967)"
2008,IA,Iowa,None,Major Cardiovascular Disease,Percent (%),21.6,21.3,22.0,Gender,Female,T1,BOC02,GEN02,"(42.46940091300047, -93.81649055599968)"
2004,AL,Alabama,None,Major Cardiovascular Disease,Percent (%),27.5,25.1,29.8,Race,Other,T1,BOC04,RAC07,"(32.84057112200048, -86.63186076199969)"
2007,WY,Wyoming,None,Major Cardiovascular Disease,Percent (%),22.6,15.2,29.9,Race,Hispanic,T1,BOC04,RAC04,"(43.23554134300048, -108.10983035299967)"
2004,DC,"Washington, DC",None,Major Cardiovascular Disease,Percent (%),26.2,25.3,27.2,Age,65+,T1,BOC03,AGE06,"(38.89037138500049, -77.03196112699965)"
2006,GA,Georgia,None,Major Cardiovascular Disease,Percent (%),26.1,25.8,26.3,Age,75+,T1,BOC03,AGE08,"(32.83968109300048, -83.62758034599966)"
2007,FL,Florida,None,Major Cardiovascular Disease,Percent (%),25.3,24.9,25.6,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(28.932040377000476, -81.92896053899966)"
2007,NM,New Mexico,None,Major Cardiovascular Disease,Percent (%),27.1,23.8,30.5,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(34.52088095200048, -106.24058098499967)"
2008,MN,Minnesota,None,Major Cardiovascular Disease,Percent (%),20.8,20.5,21.1,Gender,Female,T1,BOC02,GEN02,"(46.35564873600049, -94.79420050299967)"
2005,HI,Hawaii,None,Major Cardiovascular Disease,Percent (%),28.2,27.4,29.1,Gender,Male,T1,BOC02,GEN01,"(21.304850435000446, -157.85774940299973)"
2004,NY,New York,None,Major Cardiovascular Disease,Percent (%),23.4,23.2,23.5,Gender,Female,T1,BOC02,GEN02,"(42.82700103200045, -75.54397042699964)"
2004,IL,Illinois,None,Major Cardiovascular Disease,Percent (%),23.7,23.6,23.9,Gender,Female,T1,BOC02,GEN02,"(40.48501028300046, -88.99771017799969)"
2004,CT,Connecticut,None,Major Cardiovascular Disease,Percent (%),26.9,26.7,27.2,Age,75+,T1,BOC03,AGE08,"(41.56266102000046, -72.64984095199964)"
2005,WI,Wisconsin,None,Major Cardiovascular Disease,Percent (%),25.9,25.7,26.1,Race,Non-Hispanic White,T1,BOC04,RAC01,"(44.39319117400049, -89.81637074199966)"
2004,TN,Tennessee,None,Major Cardiovascular Disease,Percent (%),25.7,25.5,25.9,Overall,Overall,T1,BOC01,OVR01,"(35.68094058000048, -85.77449091399967)"
2004,MT,Montana,None,Major Cardiovascular Disease,Percent (%),27.5,26.8,28.2,Gender,Male,T1,BOC02,GEN01,"(47.06652897200047, -109.42442064499971)"
2004,NE,Nebraska,None,Major Cardiovascular Disease,Percent (%),27.2,26.6,27.8,Age,65+,T1,BOC03,AGE06,"(41.6410409880005, -99.36572062299967)"
2008,LA,Louisiana,None,Major Cardiovascular Disease,Percent (%),24.2,20.2,28.2,Race,Hispanic,T1,BOC04,RAC04,"(31.31266064400046, -92.44568007099969)"
2004,WV,West Virginia,None,Major Cardiovascular Disease,Percent (%),32.0,31.5,32.4,Gender,Male,T1,BOC02,GEN01,"(38.66551020200046, -80.71264013499967)"
2005,CA,California,None,Major Cardiovascular Disease,Percent (%),25.1,24.7,25.5,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(37.63864012300047, -120.99999953799971)"
2007,SD,South Dakota,None,Major Cardiovascular Disease,Percent (%),25.1,24.5,25.8,Age,75+,T1,BOC03,AGE08,"(44.353130053000484, -100.3735306369997)"
2004,MN,Minnesota,None,Major Cardiovascular Disease,Percent (%),24.9,24.7,25.1,Overall,Overall,T1,BOC01,OVR01,"(46.35564873600049, -94.79420050299967)"
2005,MI,Michigan,None,Major Cardiovascular Disease,Percent (%),30.7,30.5,31.0,Gender,Male,T1,BOC02,GEN01,"(44.6613195430005, -84.71439026999968)"
2006,RI,Rhode Island,None,Major Cardiovascular Disease,Percent (%),21.0,16.3,25.6,Race,Hispanic,T1,BOC04,RAC04,"(41.70828019300046, -71.52247031399963)"
2007,CA,California,None,Major Cardiovascular Disease,Percent (%),22.8,22.7,22.9,Overall,Overall,T1,BOC01,OVR01,"(37.63864012300047, -120.99999953799971)"
2005,US,United States,None,Major Cardiovascular Disease,Percent (%),23.1,23.1,23.1,Gender,Female,T1,BOC02,GEN02,
2006,SD,South Dakota,None,Major Cardiovascular Disease,Percent (%),22.8,22.1,23.6,Age,65+,T1,BOC03,AGE06,"(44.353130053000484, -100.3735306369997)"
2008,MA,Massachusetts,None,Major Cardiovascular Disease,Percent (%),22.6,22.4,22.8,Race,Non-Hispanic White,T1,BOC04,RAC01,"(42.27687047000046, -72.08269067499964)"
2007,NC,North Carolina,None,Major Cardiovascular Disease,Percent (%),24.4,24.2,24.6,Race,Non-Hispanic White,T1,BOC04,RAC01,"(35.466220975000454, -79.15925046299964)"
2006,NV,Nevada,None,Major Cardiovascular Disease,Percent (%),22.4,22.1,22.8,Race,Non-Hispanic White,T1,BOC04,RAC01,"(39.493240390000494, -117.07184056399967)"
2006,IA,Iowa,None,Major Cardiovascular Disease,Percent (%),25.7,23.5,27.8,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(42.46940091300047, -93.81649055599968)"
2005,AK,Alaska,None,Major Cardiovascular Disease,Percent (%),28.9,27.6,30.2,Gender,Male,T1,BOC02,GEN01,"(64.84507995700051, -147.72205903599973)"
2006,NJ,New Jersey,None,Major Cardiovascular Disease,Percent (%),27.2,26.8,27.7,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(40.13057004800049, -74.27369128799967)"
2007,MI,Michigan,None,Major Cardiovascular Disease,Percent (%),26.2,26.1,26.4,Race,Non-Hispanic White,T1,BOC04,RAC01,"(44.6613195430005, -84.71439026999968)"
2005,NY,New York,None,Major Cardiovascular Disease,Percent (%),23.1,22.5,23.6,Race,Hispanic,T1,BOC04,RAC04,"(42.82700103200045, -75.54397042699964)"
2004,NJ,New Jersey,None,Major Cardiovascular Disease,Percent (%),25.6,25.4,25.8,Gender,Female,T1,BOC02,GEN02,"(40.13057004800049, -74.27369128799967)"
2004,TN,Tennessee,None,Major Cardiovascular Disease,Percent (%),25.5,25.3,25.7,Race,Non-Hispanic White,T1,BOC04,RAC01,"(35.68094058000048, -85.77449091399967)"
2007,ID,Idaho,None,Major Cardiovascular Disease,Percent (%),28.5,27.8,29.3,Gender,Male,T1,BOC02,GEN01,"(43.682630005000476, -114.3637300419997)"
2005,WA,Washington,None,Major Cardiovascular Disease,Percent (%),23.8,22.8,24.9,Race,Other,T1,BOC04,RAC07,"(47.52227862900048, -120.47001078999972)"
2007,NV,Nevada,None,Major Cardiovascular Disease,Percent (%),22.3,21.9,22.7,Race,Non-Hispanic White,T1,BOC04,RAC01,"(39.493240390000494, -117.07184056399967)"
2008,NE,Nebraska,None,Major Cardiovascular Disease,Percent (%),23.6,23.3,24.0,Race,Non-Hispanic White,T1,BOC04,RAC01,"(41.6410409880005, -99.36572062299967)"
2008,MS,Mississippi,None,Major Cardiovascular Disease,Percent (%),20.0,10.3,29.7,Race,Hispanic,T1,BOC04,RAC04,"(32.745510099000455, -89.53803082499968)"
2005,SC,South Carolina,None,Major Cardiovascular Disease,Percent (%),25.8,25.5,26.1,Age,75+,T1,BOC03,AGE08,"(33.998821303000454, -81.04537120699968)"
2005,MS,Mississippi,None,Major Cardiovascular Disease,Percent (%),24.9,24.6,25.1,Overall,Overall,T1,BOC01,OVR01,"(32.745510099000455, -89.53803082499968)"
2004,PA,Pennsylvania,None,Major Cardiovascular Disease,Percent (%),26.9,26.7,27.0,Age,75+,T1,BOC03,AGE08,"(40.79373015200048, -77.86070029399963)"
2008,AZ,Arizona,None,Major Cardiovascular Disease,Percent (%),23.9,23.6,24.3,Age,65+,T1,BOC03,AGE06,"(34.865970280000454, -111.76381127699972)"
2008,LA,Louisiana,None,Major Cardiovascular Disease,Percent (%),23.4,23.1,23.6,Gender,Female,T1,BOC02,GEN02,"(31.31266064400046, -92.44568007099969)"
2006,SD,South Dakota,None,Major Cardiovascular Disease,Percent (%),23.2,22.7,23.7,Age,75+,T1,BOC03,AGE08,"(44.353130053000484, -100.3735306369997)"
2005,FL,Florida,None,Major Cardiovascular Disease,Percent (%),27.2,27.1,27.3,Overall,Overall,T1,BOC01,OVR01,"(28.932040377000476, -81.92896053899966)"
2007,CA,California,None,Major Cardiovascular Disease,Percent (%),23.1,23.0,23.3,Age,75+,T1,BOC03,AGE08,"(37.63864012300047, -120.99999953799971)"
2007,CA,California,None,Major Cardiovascular Disease,Percent (%),20.6,20.4,20.7,Gender,Female,T1,BOC02,GEN02,"(37.63864012300047, -120.99999953799971)"
2008,IL,Illinois,None,Major Cardiovascular Disease,Percent (%),22.9,22.7,23.0,Race,Non-Hispanic White,T1,BOC04,RAC01,"(40.48501028300046, -88.99771017799969)"
2005,DE,Delaware,None,Major Cardiovascular Disease,Percent (%),25.4,24.9,25.9,Race,Non-Hispanic White,T1,BOC04,RAC01,"(39.008830667000495, -75.57774116799965)"
2008,KS,Kansas,None,Major Cardiovascular Disease,Percent (%),23.2,22.8,23.7,Age,65+,T1,BOC03,AGE06,"(38.34774030000045, -98.20078122699965)"
2004,FL,Florida,None,Major Cardiovascular Disease,Percent (%),32.3,32.2,32.5,Gender,Male,T1,BOC02,GEN01,"(28.932040377000476, -81.92896053899966)"
2006,ID,Idaho,None,Major Cardiovascular Disease,Percent (%),27.4,26.8,28.1,Gender,Male,T1,BOC02,GEN01,"(43.682630005000476, -114.3637300419997)"
2005,NE,Nebraska,None,Major Cardiovascular Disease,Percent (%),25.8,25.5,26.2,Race,Non-Hispanic White,T1,BOC04,RAC01,"(41.6410409880005, -99.36572062299967)"
2004,MN,Minnesota,None,Major Cardiovascular Disease,Percent (%),29.2,22.5,35.9,Race,Hispanic,T1,BOC04,RAC04,"(46.35564873600049, -94.79420050299967)"
2006,MO,Missouri,None,Major Cardiovascular Disease,Percent (%),24.7,24.5,24.8,Overall,Overall,T1,BOC01,OVR01,"(38.635790776000476, -92.56630005299968)"
2007,MN,Minnesota,None,Major Cardiovascular Disease,Percent (%),22.0,21.7,22.4,Age,65+,T1,BOC03,AGE06,"(46.35564873600049, -94.79420050299967)"
2005,OK,Oklahoma,None,Major Cardiovascular Disease,Percent (%),25.5,24.7,26.2,Race,Other,T1,BOC04,RAC07,"(35.47203135600046, -97.52107021399968)"
2004,NM,New Mexico,None,Major Cardiovascular Disease,Percent (%),16.8,15.7,18.0,Race,Other,T1,BOC04,RAC07,"(34.52088095200048, -106.24058098499967)"
2006,MD,Maryland,None,Major Cardiovascular Disease,Percent (%),25.4,25.3,25.6,Overall,Overall,T1,BOC01,OVR01,"(39.29058096400047, -76.60926011099963)"
2008,CA,California,None,Major Cardiovascular Disease,Percent (%),22.1,22.0,22.2,Overall,Overall,T1,BOC01,OVR01,"(37.63864012300047, -120.99999953799971)"
2008,IN,Indiana,None,Major Cardiovascular Disease,Percent (%),24.6,24.4,24.7,Race,Non-Hispanic White,T1,BOC04,RAC01,"(39.766910452000445, -86.14996019399968)"
2008,NJ,New Jersey,None,Major Cardiovascular Disease,Percent (%),26.1,25.9,26.2,Overall,Overall,T1,BOC01,OVR01,"(40.13057004800049, -74.27369128799967)"
2008,NE,Nebraska,None,Major Cardiovascular Disease,Percent (%),23.2,20.2,26.2,Race,Other,T1,BOC04,RAC07,"(41.6410409880005, -99.36572062299967)"
2006,MA,Massachusetts,None,Major Cardiovascular Disease,Percent (%),23.2,22.1,24.3,Race,Other,T1,BOC04,RAC07,"(42.27687047000046, -72.08269067499964)"
2004,KS,Kansas,None,Major Cardiovascular Disease,Percent (%),26.4,22.8,30.0,Race,Hispanic,T1,BOC04,RAC04,"(38.34774030000045, -98.20078122699965)"
2004,NC,North Carolina,None,Major Cardiovascular Disease,Percent (%),26.3,26.1,26.5,Age,65+,T1,BOC03,AGE06,"(35.466220975000454, -79.15925046299964)"
2006,VT,Vermont,None,Major Cardiovascular Disease,Percent (%),46.2,19.1,73.3,Race,Hispanic,T1,BOC04,RAC04,"(43.62538123900049, -72.51764079099962)"
2006,DE,Delaware,None,Major Cardiovascular Disease,Percent (%),25.5,25.0,25.9,Overall,Overall,T1,BOC01,OVR01,"(39.008830667000495, -75.57774116799965)"
2005,KS,Kansas,None,Major Cardiovascular Disease,Percent (%),25.2,23.0,27.4,Race,Other,T1,BOC04,RAC07,"(38.34774030000045, -98.20078122699965)"
2007,MT,Montana,None,Major Cardiovascular Disease,Percent (%),22.6,22.0,23.2,Age,75+,T1,BOC03,AGE08,"(47.06652897200047, -109.42442064499971)"
2008,MO,Missouri,None,Major Cardiovascular Disease,Percent (%),23.1,22.9,23.3,Race,Non-Hispanic White,T1,BOC04,RAC01,"(38.635790776000476, -92.56630005299968)"
2005,NM,New Mexico,None,Major Cardiovascular Disease,Percent (%),24.2,23.8,24.6,Race,Non-Hispanic White,T1,BOC04,RAC01,"(34.52088095200048, -106.24058098499967)"
2007,ID,Idaho,None,Major Cardiovascular Disease,Percent (%),24.4,23.9,24.9,Overall,Overall,T1,BOC01,OVR01,"(43.682630005000476, -114.3637300419997)"
